"ID","Pathway_Name","GeneID","p.adjust","Gene_Name","Description","KO"
"01200","Carbon metabolism","KfGene019917-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase-like protein","K05605"
"01200","Carbon metabolism","KfGene020008-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase-like protein","K05605"
"01200","Carbon metabolism","KfGene020015-RA",1.50169419563927e-06,NA,"Glycine cleavage system H protein","K02437"
"01200","Carbon metabolism","KfGene020027-RA",1.50169419563927e-06,"DNAJB9","Hydroxyacid oxidase","K09512,K09515,K09518,K09530,K09536,K09584,K11517"
"01200","Carbon metabolism","KfGene020112-RA",1.50169419563927e-06,"MEN","Malic enzyme","K00029"
"01200","Carbon metabolism","KfGene020149-RA",1.50169419563927e-06,NA,"D-glycerate 3-kinase","K15918"
"01200","Carbon metabolism","KfGene020915-RA",1.50169419563927e-06,NA,"Fructose-1,6-bisphosphatase","K03841"
"01200","Carbon metabolism","KfGene021027-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase","K05605"
"01200","Carbon metabolism","KfGene021079-RA",1.50169419563927e-06,NA,"phosphoglycerate mutase","K15633"
"01200","Carbon metabolism","KfGene021281-RA",1.50169419563927e-06,"ENO1","enolase (EC 4.2.1.11)","K01689,K03355"
"01200","Carbon metabolism","KfGene021303-RA",1.50169419563927e-06,NA,"enolase (EC 4.2.1.11)","K01689"
"01200","Carbon metabolism","KfGene021306-RA",1.50169419563927e-06,"OSI_16195","fructose-bisphosphate aldolase","K01623"
"01200","Carbon metabolism","KfGene021555-RA",1.50169419563927e-06,"THFS","formate--tetrahydrofolate ligase","K01938"
"01200","Carbon metabolism","KfGene021654-RA",1.50169419563927e-06,NA,"Aminotransferase","K00830"
"01200","Carbon metabolism","KfGene021707-RA",1.50169419563927e-06,NA,"hexokinase","K00844"
"01200","Carbon metabolism","KfGene023137-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00058"
"01200","Carbon metabolism","KfGene023457-RA",1.50169419563927e-06,"ADH1","alcohol dehydrogenase","K00001,K00121,K18857"
"01200","Carbon metabolism","KfGene023519-RA",1.50169419563927e-06,NA,"hexokinase","K00844"
"01200","Carbon metabolism","KfGene023562-RA",1.50169419563927e-06,"CAT1","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)","K03781"
"01200","Carbon metabolism","KfGene023571-RA",1.50169419563927e-06,"GAPB","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene023587-RA",1.50169419563927e-06,"GAPB","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene023641-RA",1.50169419563927e-06,"ADH1","alcohol dehydrogenase","K00001,K00121,K18857"
"01200","Carbon metabolism","KfGene023695-RA",1.50169419563927e-06,NA,"Fructose-1,6-bisphosphatase","K03841"
"01200","Carbon metabolism","KfGene023703-RA",1.50169419563927e-06,NA,"Fructose-1,6-bisphosphatase","K03841"
"01200","Carbon metabolism","KfGene023845-RA",1.50169419563927e-06,NA,"Pyruvate dehydrogenase","K00162"
"01200","Carbon metabolism","KfGene024027-RA",1.50169419563927e-06,"SAT1","serine acetyltransferase","K00640"
"01200","Carbon metabolism","KfGene024042-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene024063-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene024129-RA",1.50169419563927e-06,NA,"iron-responsive element binding protein 2","K01681"
"01200","Carbon metabolism","KfGene024327-RA",1.50169419563927e-06,"MTHFR1","Methylenetetrahydrofolate reductase","K00297"
"01200","Carbon metabolism","KfGene024345-RA",1.50169419563927e-06,NA,"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)","K00616"
"01200","Carbon metabolism","KfGene024402-RA",1.50169419563927e-06,"G6PD2","glucose-6-phosphate 1-dehydrogenase","K00036"
"01200","Carbon metabolism","KfGene024721-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene024729-RA",1.50169419563927e-06,NA,"pyruvate dehydrogenase e1 component","K00161"
"01200","Carbon metabolism","KfGene024793-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene025879-RA",1.50169419563927e-06,NA,"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)","K00616"
"01200","Carbon metabolism","KfGene026920-RA",1.50169419563927e-06,NA,"serine acetyltransferase","K00640"
"01200","Carbon metabolism","KfGene026928-RA",1.50169419563927e-06,NA,"serine acetyltransferase","K00640"
"01200","Carbon metabolism","KfGene026994-RA",1.50169419563927e-06,"MEN","Malic enzyme","K00029"
"01200","Carbon metabolism","KfGene027128-RA",1.50169419563927e-06,NA,"citrate synthase","K01647"
"01200","Carbon metabolism","KfGene027158-RA",1.50169419563927e-06,NA,"citrate synthase","K01647"
"01200","Carbon metabolism","KfGene028108-RA",1.50169419563927e-06,NA,"Hydroxyacid oxidase","K11517"
"01200","Carbon metabolism","KfGene028115-RA",1.50169419563927e-06,NA,"Hydroxyacid oxidase","K11517"
"01200","Carbon metabolism","KfGene028142-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene028164-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene028175-RA",1.50169419563927e-06,"ADH1","alcohol dehydrogenase","K00001,K00121,K18857"
"01200","Carbon metabolism","KfGene028230-RA",1.50169419563927e-06,NA,"succinyltransferase component of 2-oxoglutarate dehydrogenase complex","K00658"
"01200","Carbon metabolism","KfGene028429-RA",1.50169419563927e-06,"G6PD1","glucose-6-phosphate 1-dehydrogenase","K00036"
"01200","Carbon metabolism","KfGene028791-RA",1.50169419563927e-06,NA,"Transketolase","K00615"
"01200","Carbon metabolism","KfGene028830-RA",1.50169419563927e-06,NA,"Transketolase","K00615"
"01200","Carbon metabolism","KfGene028926-RA",1.50169419563927e-06,NA,"Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene028929-RA",1.50169419563927e-06,NA,"Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene029099-RA",1.50169419563927e-06,NA,"Through the carboxylation of phosphoenolpyruvate (PEP) it forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","K01595"
"01200","Carbon metabolism","KfGene029531-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene029663-RA",1.50169419563927e-06,"OMR1","dehydratase","K01754"
"01200","Carbon metabolism","KfGene029703-RA",1.50169419563927e-06,"OMR1","dehydratase","K01754"
"01200","Carbon metabolism","KfGene029912-RA",1.50169419563927e-06,"SBPASE","Fructose-1,6-bisphosphatase","K01100"
"01200","Carbon metabolism","KfGene030171-RA",1.50169419563927e-06,"TPI","Triose-phosphate isomerase","K01803"
"01200","Carbon metabolism","KfGene030264-RA",1.50169419563927e-06,"TPI","Triose-phosphate isomerase","K01803"
"01200","Carbon metabolism","KfGene030580-RA",1.50169419563927e-06,NA,"isocitrate dehydrogenase nadp","K00031"
"01200","Carbon metabolism","KfGene030581-RA",1.50169419563927e-06,NA,"isocitrate dehydrogenase nadp","K00031"
"01200","Carbon metabolism","KfGene030584-RA",1.50169419563927e-06,NA,"isocitrate dehydrogenase nadp","K00031"
"01200","Carbon metabolism","KfGene030645-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00030"
"01200","Carbon metabolism","KfGene031257-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene031298-RA",1.50169419563927e-06,NA,"beta' subunit","K01900"
"01200","Carbon metabolism","KfGene031302-RA",1.50169419563927e-06,NA,"beta' subunit","K01900"
"01200","Carbon metabolism","KfGene031781-RA",1.50169419563927e-06,NA,"Esterase D","K01070"
"01200","Carbon metabolism","KfGene032480-RA",1.50169419563927e-06,"DLA1","Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene032560-RA",1.50169419563927e-06,NA,"Through the carboxylation of phosphoenolpyruvate (PEP) it forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","K01595"
"01200","Carbon metabolism","KfGene032784-RA",1.50169419563927e-06,NA,"Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene032965-RA",1.50169419563927e-06,NA,"Transketolase","K00615"
"01200","Carbon metabolism","KfGene033281-RA",1.50169419563927e-06,NA,"succinyltransferase component of 2-oxoglutarate dehydrogenase complex","K00658"
"01200","Carbon metabolism","KfGene033351-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene033355-RA",1.50169419563927e-06,NA,"Through the carboxylation of phosphoenolpyruvate (PEP) it forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","K01595"
"01200","Carbon metabolism","KfGene033377-RA",1.50169419563927e-06,NA,"Hydroxyacid oxidase","K11517"
"01200","Carbon metabolism","KfGene033570-RA",1.50169419563927e-06,NA,"Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene033914-RA",1.50169419563927e-06,NA,"Dehydrogenase","K15919"
"01200","Carbon metabolism","KfGene034588-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene034592-RA",1.50169419563927e-06,NA,"Biotin carboxylase","K01961"
"01200","Carbon metabolism","KfGene034605-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene035027-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene035075-RA",1.50169419563927e-06,NA,"K00850 6-phosphofructokinase 1 EC 2.7.1.11","K00850"
"01200","Carbon metabolism","KfGene035554-RA",1.50169419563927e-06,NA,"phosphoglycerate mutase","K01834"
"01200","Carbon metabolism","KfGene036234-RA",1.50169419563927e-06,"CAT1","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)","K03781"
"01200","Carbon metabolism","KfGene036265-RA",1.50169419563927e-06,"GAPB","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene036275-RA",1.50169419563927e-06,"CAT1","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)","K03781"
"01200","Carbon metabolism","KfGene036395-RA",1.50169419563927e-06,"ADH1","alcohol dehydrogenase","K00001,K00121,K18857"
"01200","Carbon metabolism","KfGene036818-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene037061-RA",1.50169419563927e-06,"G6PD2","glucose-6-phosphate 1-dehydrogenase","K00036"
"01200","Carbon metabolism","KfGene037097-RA",1.50169419563927e-06,NA,"Methylenetetrahydrofolate reductase","K00297"
"01200","Carbon metabolism","KfGene037408-RA",1.50169419563927e-06,NA,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)","K00033"
"01200","Carbon metabolism","KfGene037410-RA",1.50169419563927e-06,NA,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)","K00033"
"01200","Carbon metabolism","KfGene037508-RA",1.50169419563927e-06,NA,"pyruvate dehydrogenase e1 component","K00161"
"01200","Carbon metabolism","KfGene037540-RA",1.50169419563927e-06,NA,"pyruvate dehydrogenase e1 component","K00161"
"01200","Carbon metabolism","KfGene037768-RA",1.50169419563927e-06,NA,"ribose 5-phosphate isomerase A","K01807"
"01200","Carbon metabolism","KfGene037909-RA",1.50169419563927e-06,NA,"phosphoenolpyruvate carboxylase","K01595"
"01200","Carbon metabolism","KfGene038609-RA",1.50169419563927e-06,NA,"thyroid hormone receptor interactor 13","K01810"
"01200","Carbon metabolism","KfGene038671-RA",1.50169419563927e-06,NA,"2oxoglutarate dehydrogenase","K00164"
"01200","Carbon metabolism","KfGene038881-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene039158-RA",1.50169419563927e-06,NA,"dihydrolipoyl dehydrogenase","K00382"
"01200","Carbon metabolism","KfGene039181-RA",1.50169419563927e-06,NA,"-phosphatase","K19269"
"01200","Carbon metabolism","KfGene039299-RA",1.50169419563927e-06,NA,"-phosphatase","K19269"
"01200","Carbon metabolism","KfGene039330-RA",1.50169419563927e-06,NA,"dihydrolipoyl dehydrogenase","K00382"
"01200","Carbon metabolism","KfGene039366-RA",1.50169419563927e-06,"OASA1","cysteine synthase","K01738"
"01200","Carbon metabolism","KfGene039917-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene039949-RA",1.50169419563927e-06,NA,"Phosphofructokinase","K00850"
"01200","Carbon metabolism","KfGene039967-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene039984-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene040550-RA",1.50169419563927e-06,NA,"ribulose-phosphate 3-epimerase","K01783"
"01200","Carbon metabolism","KfGene040832-RA",1.50169419563927e-06,NA,"ribose-phosphate pyrophosphokinase","K00948"
"01200","Carbon metabolism","KfGene041045-RA",1.50169419563927e-06,"HPR","Dehydrogenase","K15893"
"01200","Carbon metabolism","KfGene041095-RA",1.50169419563927e-06,NA,"fructose-bisphosphate aldolase","K01623"
"01200","Carbon metabolism","KfGene041145-RA",1.50169419563927e-06,"HPR","Dehydrogenase","K15893"
